jurisdiction,year,prisoner_count,state_population,prisoner_rate,Geographic Area Name,Education Level,Percentage,higher_education_rate,id
Alabama,2016,23745,4860545.0,0.004885254637082879,Alabama,Less than high school graduate,0.1562835173958577,0.5353574943053352,1
Alabama,2016,23745,4860545.0,0.004885254637082879,Alabama,High school graduate (includes equivalency),0.30835898829880715,0.5353574943053352,1
Alabama,2016,23745,4860545.0,0.004885254637082879,Alabama,Some college or associate's degree,0.46187998744118325,0.5353574943053352,1
Alabama,2016,23745,4860545.0,0.004885254637082879,Alabama,Bachelor's degree or higher,0.07347750686415196,0.5353574943053352,1
Alaska,2016,4378,741522.0,0.005904072974234075,Alaska,Less than high school graduate,0.14880315762668703,0.46148459383753504,2
Alaska,2016,4378,741522.0,0.005904072974234075,Alaska,High school graduate (includes equivalency),0.38971224853577796,0.46148459383753504,2
Alaska,2016,4378,741522.0,0.005904072974234075,Alaska,Some college or associate's degree,0.39768270944741535,0.46148459383753504,2
Alaska,2016,4378,741522.0,0.005904072974234075,Alaska,Bachelor's degree or higher,0.06380188439011969,0.46148459383753504,2
Arizona,2016,42248,6908642.0,0.006115239434899073,Arizona,Less than high school graduate,0.16915597823810008,0.5176755585614163,4
Arizona,2016,42248,6908642.0,0.006115239434899073,Arizona,High school graduate (includes equivalency),0.3131684632004836,0.5176755585614163,4
Arizona,2016,42248,6908642.0,0.006115239434899073,Arizona,Some college or associate's degree,0.4437174184976149,0.5176755585614163,4
Arizona,2016,42248,6908642.0,0.006115239434899073,Arizona,Bachelor's degree or higher,0.07395814006380139,0.5176755585614163,4
Arkansas,2016,15833,2988231.0,0.005298452495807721,Arkansas,Less than high school graduate,0.13762702200961596,0.5357608457588642,5
Arkansas,2016,15833,2988231.0,0.005298452495807721,Arkansas,High school graduate (includes equivalency),0.32661213223151986,0.5357608457588642,5
Arkansas,2016,15833,2988231.0,0.005298452495807721,Arkansas,Some college or associate's degree,0.4624591947769314,0.5357608457588642,5
Arkansas,2016,15833,2988231.0,0.005298452495807721,Arkansas,Bachelor's degree or higher,0.07330165098193271,0.5357608457588642,5
California,2016,129416,39296476.0,0.0032933232995243644,California,Less than high school graduate,0.13124777276789987,0.5785504826227279,6
California,2016,129416,39296476.0,0.0032933232995243644,California,High school graduate (includes equivalency),0.2902017446093722,0.5785504826227279,6
California,2016,129416,39296476.0,0.0032933232995243644,California,Some college or associate's degree,0.4831594103413275,0.5785504826227279,6
California,2016,129416,39296476.0,0.0032933232995243644,California,Bachelor's degree or higher,0.09539107228140041,0.5785504826227279,6
Colorado,2016,19486,5530105.0,0.0035236220650421645,Colorado,Less than high school graduate,0.137098193448669,0.575869799756678,8
Colorado,2016,19486,5530105.0,0.0035236220650421645,Colorado,High school graduate (includes equivalency),0.287032006794653,0.575869799756678,8
Colorado,2016,19486,5530105.0,0.0035236220650421645,Colorado,Some college or associate's degree,0.4643931104666733,0.575869799756678,8
Colorado,2016,19486,5530105.0,0.0035236220650421645,Colorado,Bachelor's degree or higher,0.11147668929000466,0.575869799756678,8
Connecticut,2016,15040,3587685.0,0.004192118315849915,Connecticut,Less than high school graduate,0.11335219860718085,0.600297027715897,9
Connecticut,2016,15040,3587685.0,0.004192118315849915,Connecticut,High school graduate (includes equivalency),0.28635077367692213,0.600297027715897,9
Connecticut,2016,15040,3587685.0,0.004192118315849915,Connecticut,Some college or associate's degree,0.45836307911086643,0.600297027715897,9
Connecticut,2016,15040,3587685.0,0.004192118315849915,Connecticut,Bachelor's degree or higher,0.14193394860503056,0.600297027715897,9
Delaware,2016,6334,952698.0,0.0066484867187713214,Delaware,Less than high school graduate,0.15018752511497074,0.5247689422690539,10
Delaware,2016,6334,952698.0,0.0066484867187713214,Delaware,High school graduate (includes equivalency),0.32504353261597535,0.5247689422690539,10
Delaware,2016,6334,952698.0,0.0066484867187713214,Delaware,Some college or associate's degree,0.4203687993927758,0.5247689422690539,10
Delaware,2016,6334,952698.0,0.0066484867187713214,Delaware,Bachelor's degree or higher,0.10440014287627808,0.5247689422690539,10
Florida,2016,98010,20656589.0,0.004744733024411726,Florida,Less than high school graduate,0.15989175469205766,0.5385057548994414,12
Florida,2016,98010,20656589.0,0.004744733024411726,Florida,High school graduate (includes equivalency),0.30160249040850096,0.5385057548994414,12
Florida,2016,98010,20656589.0,0.004744733024411726,Florida,Some college or associate's degree,0.4550535140277083,0.5385057548994414,12
Florida,2016,98010,20656589.0,0.004744733024411726,Florida,Bachelor's degree or higher,0.08345224087173314,0.5385057548994414,12
Georgia,2016,53433,10313620.0,0.005180819149823244,Georgia,Less than high school graduate,0.1684122036143308,0.5207084380047758,13
Georgia,2016,53433,10313620.0,0.005180819149823244,Georgia,High school graduate (includes equivalency),0.31087935838089337,0.5207084380047758,13
Georgia,2016,53433,10313620.0,0.005180819149823244,Georgia,Some college or associate's degree,0.43765097079580517,0.5207084380047758,13
Georgia,2016,53433,10313620.0,0.005180819149823244,Georgia,Bachelor's degree or higher,0.08305746720897068,0.5207084380047758,13
Hawaii,2016,5182,1428683.0,0.0036271167221839976,Hawaii,Less than high school graduate,0.0772005554213958,0.5372419101666265,15
Hawaii,2016,5182,1428683.0,0.0036271167221839976,Hawaii,High school graduate (includes equivalency),0.38555753441197776,0.5372419101666265,15
Hawaii,2016,5182,1428683.0,0.0036271167221839976,Hawaii,Some college or associate's degree,0.45147609273122435,0.5372419101666265,15
Hawaii,2016,5182,1428683.0,0.0036271167221839976,Hawaii,Bachelor's degree or higher,0.08576581743540208,0.5372419101666265,15
Idaho,2016,7221,1680026.0,0.0042981477667607525,Idaho,Less than high school graduate,0.13383623855848029,0.5209731918726087,16
Idaho,2016,7221,1680026.0,0.0042981477667607525,Idaho,High school graduate (includes equivalency),0.345190569568911,0.5209731918726087,16
Idaho,2016,7221,1680026.0,0.0042981477667607525,Idaho,Some college or associate's degree,0.4582164962282108,0.5209731918726087,16
Idaho,2016,7221,1680026.0,0.0042981477667607525,Idaho,Bachelor's degree or higher,0.06275669564439788,0.5209731918726087,16
Illinois,2016,43616,12835726.0,0.003398015819284394,Illinois,Less than high school graduate,0.1301969550303314,0.5901682610875214,17
Illinois,2016,43616,12835726.0,0.003398015819284394,Illinois,High school graduate (includes equivalency),0.27963478388214724,0.5901682610875214,17
Illinois,2016,43616,12835726.0,0.003398015819284394,Illinois,Some college or associate's degree,0.4620352422127649,0.5901682610875214,17
Illinois,2016,43616,12835726.0,0.003398015819284394,Illinois,Bachelor's degree or higher,0.1281330188747565,0.5901682610875214,17
Indiana,2016,25143,6634007.0,0.0037900171042930765,Indiana,Less than high school graduate,0.16563731941506127,0.5273072725067712,18
Indiana,2016,25143,6634007.0,0.0037900171042930765,Indiana,High school graduate (includes equivalency),0.3070554080781675,0.5273072725067712,18
Indiana,2016,25143,6634007.0,0.0037900171042930765,Indiana,Some college or associate's degree,0.43577546904546943,0.5273072725067712,18
Indiana,2016,25143,6634007.0,0.0037900171042930765,Indiana,Bachelor's degree or higher,0.09153180346130178,0.5273072725067712,18
Iowa,2016,9049,3130869.0,0.002890251875757178,Iowa,Less than high school graduate,0.1079176229956126,0.6317048417568348,19
Iowa,2016,9049,3130869.0,0.002890251875757178,Iowa,High school graduate (includes equivalency),0.2603775352475526,0.6317048417568348,19
Iowa,2016,9049,3130869.0,0.002890251875757178,Iowa,Some college or associate's degree,0.5280216091307945,0.6317048417568348,19
Iowa,2016,9049,3130869.0,0.002890251875757178,Iowa,Bachelor's degree or higher,0.10368323262604025,0.6317048417568348,19
Kansas,2016,9653,2907731.0,0.0033197706390309147,Kansas,Less than high school graduate,0.12559892779360027,0.6017054783045737,20
Kansas,2016,9653,2907731.0,0.0033197706390309147,Kansas,High school graduate (includes equivalency),0.2726955939018261,0.6017054783045737,20
Kansas,2016,9653,2907731.0,0.0033197706390309147,Kansas,Some college or associate's degree,0.5043223320489194,0.6017054783045737,20
Kansas,2016,9653,2907731.0,0.0033197706390309147,Kansas,Bachelor's degree or higher,0.09738314625565421,0.6017054783045737,20
Kentucky,2016,11867,4436113.0,0.0026750896561922566,Kentucky,Less than high school graduate,0.13500465251118707,0.5237091034914876,21
Kentucky,2016,11867,4436113.0,0.0026750896561922566,Kentucky,High school graduate (includes equivalency),0.3412862439973254,0.5237091034914876,21
Kentucky,2016,11867,4436113.0,0.0026750896561922566,Kentucky,Some college or associate's degree,0.44389866409804407,0.5237091034914876,21
Kentucky,2016,11867,4436113.0,0.0026750896561922566,Kentucky,Bachelor's degree or higher,0.07981043939344347,0.5237091034914876,21
Louisiana,2016,15059,4686157.0,0.0032135073579481013,Louisiana,Less than high school graduate,0.18450873903996187,0.4925129222688218,22
Louisiana,2016,15059,4686157.0,0.0032135073579481013,Louisiana,High school graduate (includes equivalency),0.3229783386912163,0.4925129222688218,22
Louisiana,2016,15059,4686157.0,0.0032135073579481013,Louisiana,Some college or associate's degree,0.418271347244502,0.4925129222688218,22
