STATE,YEAR,ENROLL,POLITICAL_AFFILIATION,INSTRUCTION_EXPENDITURE_PER_1000_STUDENTS,TOTAL_EXPENDITURE_PER_1000_STUDENTS,Expenditure_Type,Expenditure
Alabama,1993,727716.0,Republican,2149.956851299133,3893.597227489845,INSTRUCTION_EXPENDITURE,1564558
Alaska,1993,121156.0,Republican,4084.9565848988086,9297.088051767969,INSTRUCTION_EXPENDITURE,494917
Arizona,1993,676297.0,Swing,2334.6089070334483,5358.51260614789,INSTRUCTION_EXPENDITURE,1578889
Arkansas,1993,311432.0,Republican,2513.5214107734596,4418.515117264765,INSTRUCTION_EXPENDITURE,782791
California,1993,5129788.0,Democratic,2978.90419643073,5479.950828377313,INSTRUCTION_EXPENDITURE,15281147
Colorado,1993,539538.0,Swing,2850.056900533419,5612.774262424518,INSTRUCTION_EXPENDITURE,1537714
Connecticut,1993,471918.0,Democratic,4879.7714857242145,8645.448997495327,INSTRUCTION_EXPENDITURE,2302852
Delaware,1993,104355.0,Democratic,3782.0899813137844,6655.493268171146,INSTRUCTION_EXPENDITURE,394680
District_Of_Columbia,1993,80937.0,Democratic,4191.729369756725,8888.888888888889,INSTRUCTION_EXPENDITURE,339266
Florida,1993,1980569.0,Swing,2692.729210646032,5768.636689759357,INSTRUCTION_EXPENDITURE,5333136
Georgia,1993,893557.0,Swing,2841.1304483093973,5201.653615829768,INSTRUCTION_EXPENDITURE,2538712
Hawaii,1993,177448.0,Democratic,3271.927550606375,5990.994544880754,INSTRUCTION_EXPENDITURE,580597
Idaho,1993,231632.0,Republican,2158.2251157007668,3884.69209781032,INSTRUCTION_EXPENDITURE,499914
Illinois,1993,1856841.0,Democratic,2973.1587141817745,5786.545536209077,INSTRUCTION_EXPENDITURE,5520683
Indiana,1993,958052.0,Swing,2987.9223674706595,5916.796791823408,INSTRUCTION_EXPENDITURE,2862585
Iowa,1993,493957.0,Swing,3082.365469059048,5849.450458238268,INSTRUCTION_EXPENDITURE,1522556
Kansas,1993,451469.0,Republican,2901.545842571694,5587.409102286093,INSTRUCTION_EXPENDITURE,1309958
Kentucky,1993,489281.0,Republican,2549.6514272984236,4666.911243232416,INSTRUCTION_EXPENDITURE,1247496
Louisiana,1993,795719.0,Republican,2385.911358155329,4306.924932042592,INSTRUCTION_EXPENDITURE,1898515
Maine,1993,211511.0,Democratic,3826.1745252019987,6249.537849095319,INSTRUCTION_EXPENDITURE,809278
Maryland,1993,751850.0,Democratic,3704.4703065771096,6515.7877236150825,INSTRUCTION_EXPENDITURE,2785206
Massachusetts,1993,862495.0,Democratic,3753.3295845193306,6584.688606890475,INSTRUCTION_EXPENDITURE,3237228
Michigan,1993,1600650.0,Swing,3381.107050260832,7141.447536938119,INSTRUCTION_EXPENDITURE,5411969
Minnesota,1993,781566.0,Democratic,3526.784686130154,6769.107151539345,INSTRUCTION_EXPENDITURE,2756415
Mississippi,1993,329408.0,Republican,1981.041747619973,3542.8162036137555,INSTRUCTION_EXPENDITURE,652571
Missouri,1993,834636.0,Republican,2671.6868191642825,5073.882506865269,INSTRUCTION_EXPENDITURE,2229886
Montana,1993,158875.0,Republican,2808.780487804878,5245.8536585365855,INSTRUCTION_EXPENDITURE,446245
Nebraska,1993,281354.0,Republican,3456.7662091173397,5837.400570100301,INSTRUCTION_EXPENDITURE,972575
